시군구명,폐교명,대지,담당자 전화번호,소재지지번주소,_X,_Y,건물연면적,이미지경로,이미지이름,주차가능 대수
광진구,서울화양초등학교,5583,02-2286-3704,서울특별시 광진구 화양동 12-2,127.0712112,37.5441957,3787,C:\\school,광진구_서울화양초등학교.jpg,60
성동구,덕수고등학교(행당분교),35128,02-2286-3704,서울특별시 성동구 행당동 70-28,127.0421492,37.5553859,20777,C:\\school,성동구_덕수고등학교(행당분교).jpg,478
성동구,성수공업고등학교,13800,02-2286-3704,서울특별시 성동구 성수동2가 333-128,127.0514067,37.5405344,17427,C:\\school,성동구_성수공업고등학교.jpeg,0
금천구,서울흥일초등학교,4865.6,02-2165-2122,서울특별시 금천구 독산로50가길 60,126.9110668,37.4637527,4093,C:\\school,금천구_서울흥일초등학교.jpg,26
강서구,서울염강초등학교,11076,02-2600-0922,서울특별시 강서구 가양동 1492,126.8643914,37.5610265,5162,C:\\school,강서구_서울염강초등학교.jpg,197
강서구,공진중학교,7052,02-2600-0922,서울특별시 강서구 가양동 1476,126.8509166,37.5662994,6792,C:\\school,강서구_공진중학교.jpg,9
성남시,구.영성여중,14195,031-780-2618,경기도 성남시 수정구 산성동5,127.1517284,37.4573919,7411,C:\\school,성남시_구.영성여중.jpg,226
부천시,부천덕산초대장분교장,9576,032-620-0282,경기도 부천시 대장동196-1,126.7909934,37.5420719,1357,C:\\school,부천시_부천덕산초대장분교장.jpeg,274
부천시,구.복사초,11328,032-620-0282,경기도 부천시 소사구 소사본동 405,126.7989301,37.4674292,4877,C:\\school,부천시_복사초등학교.jpg,215
안산시,구.화정초,5818,031-412-4653,경기도 안산시 단원구 화정동519,126.8235089,37.3586253,665,C:\\school,안산시_구.화정초.jpg,172
안산시,대동초선감분교장,8855,031-412-4653,경기도 안산시 단원구 선감동667-2,126.6266279,37.2341139,929,C:\\school,안산시_대남초풍도분교장.jpg,264
평택시,서탄초금각분교장,11343,031-650-1274,경기도 평택시 서탄면 금각리286-4,127.0086187,37.0687464,914,C:\\school,평택시_서탄초금각분교장.jpg,348
평택시,내기초 신영분교장,12795,031-650-1274,경기도 평택시 포승읍 신영리 269-1,126.8780321,36.9555861,1018,C:\\school,평택시_내기초신영분교장.jpg,393
평택시,구.평택중,17949,031-650-1274,경기도 평택시 비전동 469-8,127.0929428,36.999227,9051,C:\\school,평택시_구평택중.jpg,297
여주시,점동초당현분교장,9532,031-880-2318,경기도 여주시 점동면 당진리262-1,127.6828143,37.1848301,784,C:\\school,여주시_점동초당현분교장.jpg,292
여주시,강천초강남분교장,12717,031-880-2318,경기도 여주시 강천면 굴암리9-3,127.7082556,37.2430738,929,C:\\school,여주시_강천초강남분교장.jpg,393
여주시,대신초옥촌분교장,8879,031-880-2318,경기도 여주시 대신면 옥촌리830-1,127.6085109,37.3980879,476,C:\\school,여주시_대신초옥천분교장.jpg,280
여주시,강천초걸은분교장,12256,031-880-2318,경기도 여주시 강천면 걸은리625-1,127.6982343,37.2931316,950,C:\\school,여주시_강천초걸은분교장.jpg,377
여주시,점동초뇌곡분교장,10115,031-880-2318,경기도 여주시 점동면 뇌곡리172-1,127.6608382,37.1621723,1110,C:\\school,여주시_점동초뇌곡분교장.jpg,300
여주시,북내초주암분교장,12338,031-880-2318,경기도 여주시 북내면 주암리173,127.6790373,37.3981496,1124,C:\\school,여주시_북내초주암분교장.jpg,374
여주시,점동초안평분교장,7290,031-880-2318,경기도 여주시 점동면 장안리478,127.7113635,37.2028444,712,C:\\school,여주시_점동초안평분교장.jpeg,219
화성시,비봉초유포분교장,4469,031-371-0752,경기도 화성시 비봉면 유포리307,126.8403293,37.247517,267,C:\\school,화성시_비봉초유포분교장.jpeg,140
화성시,정문초,11232,031-371-0752,경기도 화성시 정남면 계향리411,126.9781704,37.1520541,1193,C:\\school,화성시_정문초.jpg,335
화성시,마산초어도분교장,3534,031-371-0752,경기도 화성시 송산면 고포리826-1,126.6527911,37.2447437,0,C:\\school,화성시_마산초어도분교장.jpg,118
화성시,창문초,13721,031-371-0752,경기도 화성시 남양읍 수화리236,126.8161229,37.2579177,1432,C:\\school,화성시_창문초.jpg,410
화성시,구.상신초,14229,031-371-0752,경기도 화성시 향남읍 상신리874,126.9008443,37.0938986,3087,C:\\school,화성시_구.상신초.jpg,371
화성시,서신초제부분교장,14670,031-371-0752,경기도 화성시 서신면 제부리23-1,126.6270409,37.1701642,2765,C:\\school,화성시_서신초제부분교장.jpg,397
광주시,만선초봉현분교장,5999,031-760-4057,경기도 광주시 곤지암읍 봉현리118-1,127.4050583,37.3429893,0,C:\\school,광주시_만선초봉현분교장.jpg,200
광주시,분원초검천분교장,7307,031-760-4057,경기도 광주시 남종면 검천리114-1,127.3644756,37.5243857,775,C:\\school,광주시_분원초검천분교장.jpeg,218
광주시,도수초삼성분교장,3094,031-760-4057,경기도 광주시 남종면 삼성리347,127.2794162,37.4830202,291,C:\\school,광주시_도수초삼성분교장.jpg,93
광주시,탄벌초목현분교장,6625,031-760-4057,경기도 광주시 목현동 418-1,127.2111032,37.4332161,0,C:\\school,광주시_탄벌초목현분교장.jpg,221
양평군,금왕초,10319,031-770-5683,경기도 양평군 양동면 금왕리732,127.7326527,37.4731052,1088,C:\\school,양평군_금왕초.jpg,308
양평군,강남초,11613,031-770-5683,경기도 양평군 강하면 동오리178-1,127.3992921,37.4639035,756,C:\\school,양평군_강남초.jpg,362
양평군,청운초신론분교장,4999,031-770-5683,경기도 양평군 청운면 신론리291-3,127.7748666,37.5615734,1412,C:\\school,양평군_청운초신론분교장.png,120
양평군,부안초명성분교장,5040,031-770-5683,경기도 양평군 단월면 명성리144-2,127.6699894,37.6154565,390,C:\\school,양평군_부안초명성분교.png,155
양평군,석장초,7452,031-770-5683,경기도 양평군 개군면 석장리177,127.5152315,37.4559435,1009,C:\\school,양평군_석장초.jpg,215
양평군,양평단월초산음분교장,7175,031-770-5683,경기도 양평군 단월면 산음리231-1,127.6006794,37.6058262,723,C:\\school,양평군_단월초등학교.jpeg,215
양평군,양평부안초,9709,031-770-5683,경기도 양평군 단월면 부안리236-1,127.6706212,37.5617603,1110,C:\\school,양평군_부안초명성분교.png,287
양평군,양동초매월분교장,8894,031-770-5683,경기도 양평군 양동면 매월리803-1,127.7221294,37.4361357,923,C:\\school,양평군_양동초매월분교장.jpg,266
양평군,계정초,8598,031-770-5683,경기도 양평군 양동면 계정리1000,127.7703691,37.4505744,1171,C:\\school,양평군_계정초등학교.jpeg,248
양평군,양동초단석분교장,12566,031-770-5683,경기도 양평군 양동면 쌍학리357,127.7482004,37.4077993,1160,C:\\school,양평군_양동초단석분교.jpeg,380
양평군,지평초일신분교장,7327,031-770-5683,경기도 양평군 지평면 일신리674,127.6866468,37.4339199,1180,C:\\school,양평군_지평초일신분교.jpeg,205
양평군,양동초삼산분교장,8709,031-770-5683,경기도 양평군 양동면 삼산리632-11,127.7707419,37.4047285,855,C:\\school,양평군_양동초삼산분교장.jpeg,262
양평군,청운초갈운분교장,8206,031-770-5683,경기도 양평군 청운면 갈운리472,127.7677978,37.5414641,799,C:\\school,양평군_청운초갈운분교장.jpeg,247
이천시,율면초월포분교장,9953,031-639-5673,경기도 이천시 율면 월포리608-2,127.5791593,37.0892009,403,C:\\school,양평군_율면초월포분교장.jpeg,318
이천시,부발초백록분교장,14527,031-639-5673,경기도 이천시 부발읍 고백리42-3,127.5397809,37.2955742,1756,C:\\school,양평군_부발초백록분교장.jpeg,426
이천시,진가초모가분교장,19448,031-639-5673,경기도 이천시 모가면 신갈리165-2,127.4486691,37.2020952,1102,C:\\school,양평군_진가초등학교.jpeg,612
용인시,남사초서촌분교장,10169,031-8020-9357,경기도 용인시 처인구 남사읍 통삼리238-2,127.1321556,37.1230192,0,C:\\school,용인시_남사초서촌분교장.jpeg,339
용인시,어정초동진원분교장,2387,031-8020-9357,경기도 용인시 기흥구 중동 669,127.1407357,37.2849694,0,C:\\school,용인시_어정초동진원분교장.jpg,80
용인시,남곡초 남곡분교장,17634,031-8020-9357,경기도 용인시 처인구 남사읍 아곡리 506,127.1670847,37.140431,2068,C:\\school,용인시_남곡초남곡분교장.jpeg,519
용인시,기흥중,12972,031-8020-9357,경기도 용인시 기흥구 신갈동 2-3,127.1088236,37.2791032,6495,C:\\school,용인시_기흥중학교.jpeg,216
안성시,고삼초고동분교장,10635,031-678-5271,경기도 안성시 고삼면 쌍지리769-2,127.2913739,37.1009606,0,C:\\school,안성시_고삼초고동분교장.jpg,355
안성시,양성초방축분교장,5636,031-678-5271,경기도 안성시 양성면 방축리187-1,127.2393678,37.065974,721,C:\\school,안성시_양성초방축분교장.jpg,164
안성시,장암초금산분교장,9371,031-678-5271,경기도 안성시 일죽면 금산리232-1,127.5023942,37.070062,696,C:\\school,안성시_장암초금산분교장.jpg,289
안성시,공제초,18591,031-678-5271,경기도 안성시 공도읍 불당리63-2,127.1760124,36.9837368,1111,C:\\school,안성시_공제초.jpg,583
안성시,장암초,9129,031-678-5271,경기도 안성시 일죽면 장암리204,127.4699891,37.0772743,983,C:\\school,안성시_장암초.jpg,272
안성시,원곡초성은분교장,8739,031-678-5271,경기도 안성시 원곡면 성은리35-1,127.1600746,37.0771966,640,C:\\school,안성시_원곡초성은분교장.jpg,270
안성시,구.백성초,24820,031-678-5271,경기도 안성시 금산동 119,127.2675594,37.0109215,8469,C:\\school,안성시_구.백성초.jpg,545
안성시,서삼초,11225,031-678-5271,경기도 안성시 보개면 남풍리1070,127.3090365,37.0867265,1911,C:\\school,안성시_서삼초.jpg,310
안성시,방초초,11319,031-678-5271,경기도 안성시 일죽면 방초리 459-2,127.4335214,37.1196121,1744,C:\\school,안성시_방초초.jpg,319
동두천시,동두천초걸산분교장,2175,031-860-4372,경기도 동두천시 걸산동 50-8,127.1065975,37.9281986,0,C:\\school,동두천시_동두천초걸산분교장.jpg,73
양주시,가납초현암분교장,6809,031-870-4041,경기도 양주시 광적면 비암리231-4,126.9289127,37.8099505,0,C:\\school,양주시_가납초현암분교장.jpg,227
양주시,유양초천성분교장,2030,031-870-4041,경기도 양주시 유양동 725,127.0110688,37.7947048,0,C:\\school,양주시_유양초천성분교장.jpg,68
고양시,백마초장항분교장,4355,031-900-2973,경기도 고양시 일산동구 장항동580-20,126.7696034,37.6385645,497,C:\\school,고양시_백마초장항분교장.jpg,129
고양시,구.고양중,19545,031-900-2973,경기도 고양시 덕양구 삼송동45,126.8923617,37.6558356,5035,C:\\school,고양시_구.고양중.jpg,484
고양시,구.삼송초,4679,031-900-2973,경기도 고양시 덕양구 삼송동62,126.8963909,37.6561878,0,C:\\school,고양시_구.삼송초.jpg,156
남양주시,남양주송촌초시우분교장,3738,031-550-6253,경기도 남양주시 조안면 시우리122-20,127.2958481,37.5876875,146,C:\\school,남양주시_남양주송촌초시우분교장.jpg,120
남양주시,마석초녹촌분교장,7392,031-550-6253,경기도 남양주시 화도읍 녹촌리272,127.2862657,37.6519309,431,C:\\school,남양주시_마석초녹촌분교장.jpg,232
파주시,용운초,13171,031-940-7334,경기도 파주시 적성면 객현리385-2,126.9482389,37.9737601,1343,C:\\school,파주시_용운초.jpg,394
파주시,금곡초,9414,031-940-7334,경기도 파주시 법원읍 금곡리336-5,126.8778329,37.8846186,1017,C:\\school,파주시_금곡초.jpg,280
파주시,법원초,13253,031-940-7334,경기도 파주시 법원읍 법원리500,126.8799817,37.8565257,2326,C:\\school,파주시_법원초.png,364
파주시,적성초,14716,031-940-7334,경기도 파주시 적성면 가월리114-5,126.9179403,37.9781824,1443,C:\\school,파주시_적성초.jpg,442
파주시,구.교하중,20297,031-940-7334,경기도 파주시 다율동 56-8,126.7387093,37.7468038,2231,C:\\school,파주시_구.교하중.png,602
파주시,신산초영장분교장,7473,031-940-7334,경기도 파주시 광탄면 영장리256-1,126.9081572,37.7763844,449,C:\\school,파주시_신산초영장분교장.png,234
연천군,연천왕산초마전분교장(A),6033,031-839-0222,경기도 연천군 미산면 동이리596-1,126.9908022,38.0232883,517,C:\\school,연천군_연천왕산초마전분교장(A).jpg,184
연천군,연천왕산초동중분교장,7479,031-839-0222,경기도 연천군 왕징면 동중리461-1,126.9535076,38.0691062,0,C:\\school,연천군_연천왕산초동중분교장.png,249
연천군,연천초고문분교장,8937,031-839-0222,경기도 연천군 연천읍 고문리259-1,127.1130754,38.0652113,807,C:\\school,연천군_연천초고문분교장.png,271
연천군,전곡초양원분교장,11283,031-839-0222,경기도 연천군 전곡읍 양원리560,127.0223904,37.992176,551,C:\\school,연천군_전곡초양원분교장.jpg,358
연천군,군남초북삼분교장,4863,031-839-0222,경기도 연천군 왕징면 북삼리160-4,127.0044622,38.0953998,259,C:\\school,연천군_군남초북삼분교장.jpg,153
연천군,옥계초,8114,031-839-0222,경기도 연천군 군남면 옥계리475-4,127.0469645,38.1203284,1246,C:\\school,연천군_옥계초.jpg,229
연천군,백학초고랑포분교장,12979,031-839-0222,경기도 연천군 장남면 원당리678,126.8836892,37.9809057,1031,C:\\school,연천군_백학초고랑포분교장.jpg,398
연천군,연천왕산초마전분교장(B),12878,031-839-0222,경기도 연천군 미산면 유촌리625,126.9885418,38.0493017,500,C:\\school,연천군_연천왕산초마전분교장(B).jpg,413
연천군,구.군남초,12920,031-839-0222,경기도 연천군 군남면 삼거리597,127.0167264,38.08102,2150,C:\\school,연천군_구.군남초.png,359
연천군,전곡초적동분교장,8869,031-839-0222,경기도 연천군 전곡읍 늘목리111-2,127.0007987,37.9405229,745,C:\\school,연천군_전곡초적동분교장.png,271
연천군,구.대광중,33545,031-839-0222,경기도 연천군 신서면 도신리228,127.1087379,38.1791859,2939,C:\\school,연천군_구.대광중.jpg,1020
포천시,삼정초금동분교장,7538,031-539-0033,경기도 포천시 신북면 금동리247-1,127.1272406,37.9445635,0,C:\\school,포천시_삼정초금동분교장.png,251
포천시,관인초사정분교장,9787,031-539-0033,경기도 포천시 관인면 사정리136-1,127.253376,38.1236617,650,C:\\school,포천시_관인초사정분교장.png,305
포천시,보장초,10152,031-539-0033,경기도 포천시 창수면 오가리424,127.1916269,38.0281596,1751,C:\\school,포천시_보장초.png,280
포천시,영북초보광분교장,12834,031-539-0033,경기도 포천시 영북면 야미리276,127.2724124,38.0541152,353,C:\\school,포천시_영북초보광분교장.png,416
포천시,냉정초,10762,031-539-0033,경기도 포천시 관인면 냉정리339,127.275185,38.1619724,3007,C:\\school,포천시_냉정초.png,259
포천시,영중초,16513,031-539-0033,경기도 포천시 영중면 성동리891-3,127.2485446,38.0149285,3247,C:\\school,포천시_영중초.png,442
포천시,영평초,49937,031-539-0033,경기도 포천시 영중면 영평리240,127.2172329,38.0159424,2663,C:\\school,포천시_영평초.png,1576
포천시,금주초,15570,031-539-0033,경기도 포천시 영중면 금주리522-1,127.2605413,37.9735394,2209,C:\\school,포천시_금주초.png,445
가평군,목동초광악분교장,7362,031-580-5132,경기도 가평군 북면 화악리845,127.5363063,37.9498092,520,C:\\school,가평군_목동초광악분교장.jpg,228
가평군,상색초두밀분교장,4103,031-580-5132,경기도 가평군 가평읍 두밀리11-2,127.4600647,37.8161656,1014,C:\\school,가평군_상색초두밀분교.png,103
가평군,청평초양진분교장,2165,031-580-5132,경기도 가평군 청평면 고성리777-2,127.4813339,37.710232,639,C:\\school,가평군_청평초양진분교장.png,51
가평군,목동초화악분교장,7558,031-580-5132,경기도 가평군 북면 화악리564-1,127.5670527,37.9301439,1275,C:\\school,가평군_목동초화악분교장.jpg,209
가평군,목동초백둔분교장,14552,031-580-5132,경기도 가평군 북면 백둔리371-2,127.4564396,37.902672,0,C:\\school,가평군_목동초백둔분교.png,485
가평군,조종초운악분교장,9193,031-580-5132,경기도 가평군 조종면 운악리214-6,127.3621915,37.8824547,900,C:\\school,가평군_조종초운악분교.png,276
가평군,미원초엄소분교장,1930,031-580-5132,경기도 가평군 설악면 엄소리234-30,127.4976718,37.6481843,211,C:\\school,가평군_미원초엄소분교장.png,57
가평군,구.목동초,11943,031-580-5132,경기도 가평군 북면 목동리919,127.5468704,37.8891722,1734,C:\\school,가평군_구.목동초.png,340
가평군,청평초회곡분교장,5391,031-580-5132,경기도 가평군 설악면 회곡리528,127.4482003,37.7049116,1230,C:\\school,가평군_청평초양진분교장.png,139
가평군,목동초도대분교장,7187,031-580-5132,경기도 가평군 북면 도대리139-4,127.4908147,37.9246214,732,C:\\school,가평군_목동초도대분교장.png,215
